Year,Fires,Acres
2000,7622,295026
2001,9458,329126
2002,8328,969890
2003,9116,1020460
2004,8415,264988
2005,7162,222538
2006,8202,736022
2007,9093,1087110
2008,4923,1593690
2009,9159,422147
2010,6554,109529
2011,7989,168545
2012,7950,869599
2013,9907,601635
2014,7865,625540
2015,8745,893362
2016,6986,669534
2017,9133,1381405
2018,8572,1893913
2019,7860,259823
